,OUTCOMETYPE,AGEOUTCOME,PREVHIST,DAYS_STAY,IS_PUREBREED,INTAKETYPE_ABANDONED,INTAKETYPE_EUTHANASIAREQUEST,INTAKETYPE_OWNERSURRENDER,INTAKETYPE_PUBLICASSIST,INTAKETYPE_STRAY,INTAKECONDITION_AGED,INTAKECONDITION_BEHAVIOR,INTAKECONDITION_FERAL,INTAKECONDITION_INJURED,INTAKECONDITION_MEDICAL,INTAKECONDITION_NORMAL,INTAKECONDITION_NURSING,INTAKECONDITION_OTHER,INTAKECONDITION_PREGNANT,INTAKECONDITION_SICK,SEXINTAKE_INTACTFEMALE,SEXINTAKE_INTACTMALE,SEXINTAKE_NEUTEREDMALE,SEXINTAKE_SPAYEDFEMALE,SEXINTAKE_UNKNOWN
A355753_1443488880,RTO,132.0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A357021_1417576500,RTO,120.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A357122_1546416840,RTO,180.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A357846_1458180540,RTO,132.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A358697_1423224720,RTO,132.0,0.0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A358879_1442206320,DIED,156.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A360848_1542177840,RTO,168.0,0.0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A362103_1416302400,RTO,144.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A362707_1453897620,ADOPT,144.0,0.0,348,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
A362967_1402208340,RTO,108.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A363653_1395572520,RTO,120.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A363653_1416202740,RTO,120.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A364429_1443414360,RTO,132.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A365302_1483850040,RTO,192.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A367438_1441857660,ADOPT,192.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A367747_1413686940,ADOPT,120.0,0.0,16,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A370852_1383447840,RTO,108.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A371102_1438592940,RTO,156.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A371534_1465278120,RTO,168.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A373687_1395318660,ADOPT,108.0,0.0,18,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A375393_1434113220,RTO,156.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A377750_1508908620,RTO,156.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A378348_1386846420,ADOPT,108.0,0.0,37,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A378348_1390617480,ADOPT,108.0,1.0,88,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A378353_1406978580,DIED,120.0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A378818_1404544380,RTO,120.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A378946_1506562560,ADOPT,180.0,0.0,16,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A379998_1382528520,RTO,120.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A380009_1454294100,RTO,132.0,0.0,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A380320_1391431260,DIED,108.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A380420_1501821900,ADOPT,156.0,0.0,202,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A380506_1453439580,DIED,144.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A381217_1496553660,RTO,156.0,0.0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A382251_1415420040,RTO,120.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A384027_1552616460,RTO,168.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A385442_1389410100,RTO,120.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A386005_1443161820,RTO,120.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A387083_1391236560,RTO,108.0,0.0,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A387965_1403672280,RTO,120.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
A388360_1451038380,RTO,120.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A388545_1591764300,ADOPT,192.0,0.0,16,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
A388691_1448596740,RTO,144.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A390222_1386138240,ADOPT,108.0,0.0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A390222_1386479040,ADOPT,108.0,1.0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A391379_1573799640,RTO,180.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A391512_1459914780,RTO,132.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A391858_1489639980,RTO,132.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A392027_1391132760,RTO,168.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A392075_1384909740,RTO,96.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A394547_1422072840,RTO,108.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A395451_1451194920,RTO,120.0,0.0,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A396810_1471839180,ADOPT,156.0,0.0,122,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
A397882_1499827380,RTO,180.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
A399421_1440468480,RTO,120.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A400498_1475569860,ADOPT,156.0,0.0,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A400680_1497662940,ADOPT,144.0,0.0,107,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A400841_1548483060,DIED,168.0,0.0,39,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
A403564_1384750980,RTO,192.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A405494_1400206620,RTO,96.0,0.0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A407156_1476788460,RTO,132.0,0.0,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A408035_1419508920,RTO,144.0,0.0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A409637_1459596960,RTO,132.0,0.0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A412173_1438064220,RTO,108.0,0.0,11,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A412626_1457867820,ADOPT,144.0,0.0,14,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A412697_1451795100,RTO,120.0,0.0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A413789_1461029280,RTO,120.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A413789_1572006540,RTO,168.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
